sample_id,n_sites,n_defects,defect_density,defect_strength,defect_sites,mean_defect_distance,clustering_index,mean_energy,energy_gap,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
805,40,7,0.175,2.0107488398302045,4;6;12;17;18;22;31,4.5,0.18181818181818182,0.35188104697028594,0.0688210067064979,5.250081259154923,0.14209688801598222,0.39863216572223215,0.7592455870929561
806,40,12,0.3,0.751449009021017,2;3;6;11;14;15;22;23;24;26;31;39,3.3636363636363638,0.22916666666666669,0.22543470270630497,0.14551066427418674,4.374907716479795,0.08641535457500012,0.20908506610598523,0.7212845679327793
807,40,7,0.175,1.7746300769757595,3;8;13;23;24;33;36,5.5,0.15384615384615385,0.3105602634707578,0.20956406405262765,5.053832087409473,0.11816273049417984,0.38503835667160724,0.7732978815572976
808,40,4,0.1,0.5318865470634982,11;13;23;35,8.0,0.1111111111111111,0.053188654706349855,0.1821502216966615,4.108132648540459,0.05149015537297959,0.15365853151196537,0.8684399040095045
809,40,12,0.3,1.8991314317510157,2;3;4;7;13;15;17;21;23;27;28;29,2.4545454545454546,0.2894736842105263,0.5697394295253049,0.05363442913157079,5.4052128924844975,0.1648400862482747,0.44583192524473314,0.6826683741029945
810,40,1,0.025,2.415502957325469,8,0.0,,0.060387573933136776,0.18382839802048306,5.12663067240956,0.06744970106819467,0.6136049756453856,0.9153739517912838
811,40,10,0.25,0.4378928499517351,0;1;2;7;13;23;24;25;38;39,4.333333333333333,0.1875,0.10947321248793374,0.13610965477807296,4.164056589004626,0.05698361832654517,0.18644098924590247,0.7651205309523272
812,40,12,0.3,3.2375279842952627,5;7;9;12;14;16;17;20;24;31;33;34,2.6363636363636362,0.275,0.971258395288579,0.09440347981503494,6.330829704700752,0.2636217012782826,0.6573325575802709,0.639540880752989
813,40,12,0.3,2.8667411535368807,7;8;13;18;20;22;24;27;31;32;33;36,2.6363636363636362,0.275,0.8600223460610643,0.0829841764547884,6.264258392605279,0.24900850198727822,0.6008174945046003,0.6455742487643317
814,40,11,0.275,1.576175726305658,0;1;4;5;10;20;26;27;31;32;36,3.6,0.2173913043478261,0.4334483247340558,0.1242023453507704,4.907978427819554,0.13951804495126813,0.43935236956433515,0.706954572668213
815,40,9,0.225,3.834688071094795,3;7;9;13;21;27;33;35;39,4.5,0.18181818181818182,0.8628048159963289,0.6430638054906304,6.378237842863329,0.2056471715506548,0.4340282907397397,0.6989843616830532
816,40,4,0.1,1.7669534045350967,17;18;33;38,7.0,0.125,0.1766953404535096,0.21116610231234598,5.099356724322539,0.09065314639777758,0.4295668639032825,0.8398751584585461
817,40,7,0.175,1.2078581495924654,5;11;16;20;21;27;34,4.833333333333333,0.17142857142857143,0.21137517617868146,0.07397547375957736,4.542361235474156,0.09706977559053877,0.3190813840380625,0.7861203993591982
818,40,11,0.275,1.37989398396134,13;17;19;24;26;27;29;30;35;38;39,2.6,0.2777777777777778,0.3794708455893685,0.0986351138353358,4.899956605658073,0.1278833500327164,0.33960068904191454,0.7128176408798916
819,40,6,0.15,0.6032907993032005,3;18;22;31;32;38,7.0,0.125,0.09049361989548017,0.13414396686806668,4.1960658672823605,0.06632094463547207,0.2154521829891007,0.8221514267352333
820,40,12,0.3,1.2547428827529319,4;7;11;13;14;18;20;25;27;34;36;38,3.090909090909091,0.24444444444444444,0.3764228648258795,0.15462683145815564,4.609917176502732,0.12315353458805127,0.2579746893624589,0.702664874657717
821,40,9,0.225,1.1753048161106314,5;8;9;16;18;26;28;34;39,4.25,0.19047619047619047,0.26444358362489206,0.12502833187031995,4.537638414848133,0.11257558763948954,0.3070052215800659,0.7476213002397627
822,40,2,0.05,0.8863957092712278,5;36,31.0,0.03125,0.04431978546356141,0.15260652212526107,4.1763629863956835,0.053571893343578994,0.25957462424175826,0.9061484856869823
823,40,6,0.15,3.1934736594079105,4;7;12;19;23;37,6.6,0.13157894736842105,0.47902104891118674,0.025359677480349896,5.782839463924079,0.20297537525455717,0.7311532083913432,0.739111751987248
