sample_id,n_sites,n_defects,defect_positions,defect_strength,mean_energy,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
134,40,1,15,3.6776169229515365,0.0919404230737885,6.17084171580935,0.08021688631363724,0.7782377414219173,0.9257400182037642
135,40,4,0;6;14;23,0.1968102140144329,0.019681021401443323,3.999191404427676,0.038355661696943356,0.0476393474513845,0.9630611522507998
136,40,4,16;17;26;34,0.128526379542761,0.012852637954276113,3.997378634872552,0.038292349006679625,0.052190178067925475,0.9631198775149279
137,40,3,6;10;28,3.9290431954158884,0.2946782396561916,6.391478279769261,0.1344478666020903,0.7994870690524133,0.8814860774477103
138,40,5,18;22;30;32;38,3.85652377184258,0.4820654714803224,6.504045234943752,0.15908894348567387,0.5201586727885927,0.8627465610988806
139,40,4,2;17;28;33,1.8163459281567376,0.1816345928156738,4.683320236704708,0.11377527661080897,0.5060095522028588,0.8978471878483204
140,40,4,16;20;25;36,1.2240901574028304,0.12240901574028303,4.375344405236319,0.08364012004098538,0.3032545157517317,0.9228155930237966
141,40,5,13;24;26;28;35,3.131638197363796,0.3914547746704746,5.947555014405027,0.16969068379828284,0.7206377849751872,0.8549268741311558
142,40,6,13;17;18;31;32;36,0.43079516201614504,0.06461927430242165,4.10428955406226,0.04833018085576045,0.1036875259645593,0.9538979400399328
143,40,2,21;39,3.7063365021575656,0.18531682510787822,6.191683783857844,0.10144841306838744,0.8642865261805623,0.9078954476081408
144,40,3,1;9;31,0.28992404202401995,0.02174430315180147,4.007709953491339,0.039748301259666954,0.06167604372404337,0.9617712275062038
145,40,3,4;27;36,3.1175106627313425,0.23381329970485068,5.686243939755342,0.13439381570365955,0.7190260154081959,0.8815280779538669
146,40,1,34,2.9837827270583883,0.07459456817645965,5.584160480454059,0.06732063364744392,0.7019112802760715,0.9369255765089226
147,40,3,1;14;30,2.5254013161634585,0.18940509871225955,5.186719371383328,0.10909388587179589,0.6669419389041732,0.9016369242843285
148,40,2,17;33,2.1070544342537643,0.1053527217126881,4.8766418701930485,0.09450981451264212,0.5279619299996839,0.9136510122983913
149,40,2,21;26,1.6652866744582129,0.08326433372291062,4.605811671043824,0.07152507159678176,0.2431377198785136,0.93324927853513
150,40,5,9;22;25;32;39,3.4280442174618315,0.42850552718272894,5.971407426321669,0.16547904686127765,0.8431553764225034,0.8580162832554347
151,40,6,4;10;15;17;21;25,0.4307652058194761,0.06461478087292127,4.0924742406108034,0.046796877524214804,0.08534207934507466,0.9552951689778685
152,40,5,12;16;27;32;38,1.6909736094120005,0.2113717011765001,4.611542654108715,0.11374623712497764,0.4519875366631157,0.8978705980470004
153,40,4,4;5;7;22,2.42133007761215,0.242133007761215,5.7174938729152665,0.12216252374618428,0.614653643669465,0.8911365143986795
154,40,1,15,3.669665165113664,0.09174162912784173,6.163858602471898,0.08017499981537793,0.7775175194455247,0.9257759160977791
155,40,2,13;19,1.5249760064766205,0.07624880032383105,4.506964457195228,0.06637575042108863,0.21976730511030226,0.9377557578603243
156,40,1,2,0.887718246986248,0.022192956174656154,4.14860547434662,0.04419142716659662,0.27087184613782117,0.9576788067619846
157,40,4,0;11;17;38,1.7394889088705807,0.17394889088705803,4.640134025094197,0.09824137369003107,0.5228538666537683,0.9105466466265558
158,40,6,19;21;27;33;34;39,1.3688366490150405,0.2053254973522561,4.767918607407582,0.10291223462185477,0.3726975480050808,0.9066904587769494
159,40,6,8;11;19;28;31;37,1.0413510403439854,0.1562026560515978,4.268246327322635,0.09267870117561108,0.29154064685199976,0.9151821106461595
160,40,2,7;12,3.509826024634149,0.17549130123170742,6.031285003016503,0.09104751609523416,0.3841913869154186,0.916550365816252
161,40,1,11,2.2898086382161,0.05724521595540253,5.028882423628355,0.06808758477376933,0.5901955000196384,0.9362528075933109
162,40,2,23;30,1.8097064084783523,0.09048532042391758,4.684895097082461,0.07084471507296816,0.2482187410920508,0.9338422143978731
163,40,6,10;16;22;26;34;36,0.8221994453189135,0.12332991679783704,4.217066479287816,0.06972410403025733,0.19977009257675785,0.9348204796287499
164,40,2,12;21,2.6463962935995937,0.13231981467997966,5.291017658697162,0.086323876868118,0.3265907023593082,0.9205357824620494
165,40,2,31;37,1.7885927221842919,0.0894296361092147,4.679509289324706,0.06289650463530368,0.3082718270976432,0.9408253725917705
